Column Header,Column Description,CODING
S/N,Unique identification for each patient,
Year,The year diagnosis was conducted,
Age,Age of patient at the time of diagnose,
Menopause,Whether the patient is pro or postmenopausal at the time diagnose,0 MEANS THAT THE PATIENT HAS REACHED MENOPAUSE WHILE 1 MEANS THAT THE PATIENT HAS NOT REACHED MENOPAUSE YET.
Tumor size,The size in centimeter of the excised tumor,
Involved nodes,The number of axillary lymph nodes that contain metastatic,"CODED AS A BINARY DISTRI UTION OF EITHER PRESENT OR ASENT. 1 MEANS PRESENT, 0 MEANS ABSENT."
Breast,If it occurs on the left or right side,"CODED AS A BINARY DISTRIBUTION 1 MEANS THE CANCER HAS SPREAD, 0 MEANS IT HASN'T SPREAD YET."
Metastatic,If the cancer has spread to other part of the body or organ,
Breast quadrant,The gland is divided into 4 sections with nipple as a central point,
History,If the patient has any history or family history on cancer,"1 means there is a history of cancer , 0 means no history."
Diagnosis result,Instances of the breast cancer dataset,
